MovieId;Title;Genres
0;AADC 2;Drama|Romance
1;Gundala;Action|Crime|Drama
2;Dilan 1991;Drama|Romance
3;Bumi Manusia;Drama|History
4;Dua Garis Biru;Drama|Family
5;Avengers End Game;Action|Adventure|SciFi
6;The Lion King;Action|Adventure|Drama
7;Aladdin;Adventure|Family|Fantasy
8;Spiderman Far From Home;Action|Adventure|SciFi
9;Captain Marvel;Action|Adventure|SciFi
